,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,2326,1819,204,599,1374,525,870,1043,952,3435,67,516,69,298,726,813,172,73,226
sidewalk,59,3503,11,332,1953,126,26,125,634,4089,4,269,52,60,155,482,27,20,197
building,7,496,6301,1553,1513,1465,1995,1140,6267,1032,856,1031,71,90,838,1538,265,69,98
wall,3,157,249,1063,417,171,40,72,567,555,30,93,15,10,140,236,19,3,8
fence,15,1109,117,1179,3258,71,32,147,845,2166,15,204,26,92,349,603,79,11,49
pole,1,155,187,320,422,1876,522,446,924,359,76,202,15,22,244,369,87,26,21
traffic light,0,10,26,64,22,43,2622,212,138,13,18,17,12,2,63,49,19,80,4
traffic sign,0,64,68,71,31,79,335,1950,191,21,15,35,1,4,53,100,17,2,1
vegetation,3,297,695,810,521,520,369,304,6181,2192,265,364,26,46,270,672,128,9,23
terrain,5,751,75,327,504,14,12,15,752,2910,0,123,21,34,39,152,13,2,12
sky,0,3,653,102,36,163,532,137,1457,39,3806,21,0,75,111,69,34,0,0
person,4,238,2,135,828,68,25,57,420,306,11,1309,283,16,178,299,33,35,154
rider,0,17,1,0,29,3,5,5,60,24,1,148,108,1,19,58,0,10,41
car,18,461,104,248,897,26,95,162,639,747,30,471,199,2368,2325,2636,365,150,104
truck,0,66,13,32,54,7,5,48,111,64,1,45,17,65,292,540,19,8,4
bus,0,13,8,49,61,14,19,51,153,162,1,41,1,21,246,773,61,0,1
train,0,5,3,1,3,2,4,7,2,35,0,4,0,3,3,68,43,0,0
motorcycle,0,14,0,1,9,0,8,2,1,17,0,17,33,13,30,16,1,97,40
bicycle,0,64,5,13,200,5,3,0,2,65,0,83,69,0,7,26,0,45,298
